,epoch,loss,accuracy,Model
0,1,110.55496871440917,35.762,CNN
1,2,94.01166434178268,46.444,CNN
2,3,87.708579985382,50.492,CNN
3,4,83.21268709236399,53.52,CNN
4,5,79.87433270969049,55.476,CNN
5,6,78.05793812207858,56.548,CNN
6,7,76.27260143860526,57.914,CNN
7,8,75.3944272580354,58.26,CNN
8,9,73.5568043545384,59.688,CNN
9,10,72.51725303425508,60.26,CNN
10,11,71.49292422194615,60.832,CNN
11,12,70.90210453384672,61.164,CNN
12,13,69.75369962706895,61.91,CNN
13,14,69.83878682519469,61.95,CNN
14,15,69.09956755845442,62.336,CNN
15,1,99.95791406460735,43.388,customResNet
16,2,70.7094043112167,60.736,customResNet
17,3,57.2517898320542,68.346,customResNet
18,4,47.68778428702098,74.122,customResNet
19,5,40.923748835883174,77.776,customResNet
20,6,36.00041789715857,80.568,customResNet
21,7,31.99998458876939,82.704,customResNet
22,8,29.170876023409615,84.298,customResNet
23,9,26.463926160427004,85.724,customResNet
24,10,24.01183507265642,87.06,customResNet
25,11,22.17420250924347,88.154,customResNet
26,12,20.35134151036782,89.026,customResNet
27,13,18.97041132444006,89.7,customResNet
28,14,17.466741479571212,90.568,customResNet
29,15,16.058304583020224,91.25,customResNet
